,date,comments,likes,text
0,18/10/2021,80,3425,"Анализируя клавиатурный почерк сотрудников, работающих из дома, в компаниях поняли, что многие из них регулярно употребляют спиртное. Другие вместо работы смотрят сериалы и занимаются личными делами"
1,18/10/2021,288,3235,"Электронные паспорта россиянам будут выдавать в двух вариантах: в виде смарт-карты, которая должна заменять традиционный бумажный паспорт, и в виде приложения на смартфоне с QR-кодом, который будет подтверждать право на совершение определенных действий, сообщил глава Минцифры Максут Шадаев. Например, QR-код вместо паспорта можно будет показывать при покупке алкоголя.
⠀
Проект указа президента о запуске проекта цифровых паспортов будет выпущен до конца года. По плану, выдавать цифровые паспорта начнут до конца следующего года в трех регионах России. Какие это будут регионы, пока неизвестно"
2,17/10/2021,251,5028,"Рыбы ранимые, а со Скорпионами лучше не связываться? Как психология объясняет веру в гороскопы — в карточках РБК Трендов"
3,17/10/2021,107,5806,"В Керчи открыли мемориал в память о жертвах трагедии в политехническом колледже, где в 2018 году студент устроил стрельбу и взрыв. Памятник установили на территории керченского городского кладбища.
⠀
Монумент выполнен из бронзы по эскизу председателя правления Союза художников России Андрея Ковальчука. В центре композиции — смятая, простреленная ученическая тетрадь, из которой вылетает стая жаворонков. На постаменте выгравированы имена погибших сотрудников и студентов колледжа. Общая высота памятника — примерно 6,5 м. Участники церемонии почтили память погибших минутой молчания, к подножию памятника возложили цветы. В дальнейшем на этом месте будет создан сквер Памяти.
⠀
Нападение на политехнический колледж произошло 17 октября 2018 года. Тогда 18-летний студент четвертого курса Владислав Росляков взорвал в столовой на первом этаже здания самодельную бомбу, а затем начал расстреливать из помпового ружья находившихся в колледже людей. В результате происшествия погиб 21 человек, более 60 пострадали. Росляков покончил с собой."
4,17/10/2021,109,5728,"Рут Порат встретила «черный понедельник» 1987 года в Morgan Stanley. В 2008 она спасала экономику США от краха, а в 2020 боролась с последствиями пандемии в Google.
⠀
Однако путь Порат был долгим и трудным. Она пришла в Morgan Stanley в конце 1980-х, когда Уолл-стрит была «пацанским клубом». Порат говорит, что важно найти «спонсора» на работе — того человека, который «будет готов пойти на риск, поддержав вас, и обладает полномочиями или репутацией, позволяющими поставить вас на позицию, способствующую вашему карьерному росту».
⠀
Теперь она сама старается быть таким «спонсором» для молодых сотрудниц и сотрудников. И дело не только в солидарности. Порат уверена, что разнообразие нужно любому бизнесу не только из-за репутационных соображений, но и для достижения успеха: чем больше точек зрения, тем продуктивнее работает команда и тем выше ее финансовые показатели.
⠀
За что Порат прозвали «безжалостной Рут», каким принципам она четко следует в своей работе и как Рут работает с инвесторами — в полной версии материала РБК Pro по ссылке в шапке профиля"
5,16/10/2021,43,3843,"Одна из классификаций предпринимателей предлагает разделять их на «сурков» и «потоки». Что делать, если вы оказались «сурком» и как разбудить в себе «поток» — в карточках РБК Pro
⠀
#рбк #rbc #рбк_pro"
6,15/10/2021,59,3498,"Стивен Хокинг считал, что черные дыры — это порталы в параллельные миры, а реликтовое пятно в созвездии Эридан может быть отпечатком другой реальности. РБК Тренды рассматривают эту и другие теории об альтернативных вселенных
⠀
#рбк #rbc #рбк_тренды"
7,14/10/2021,402,10893,"С момента выхода «Игры в кальмара» прошел месяц, но градус обсуждения сериала даже не планирует снижаться. Почему «Игра в кальмара» — большой социальный манифест о маленьком человеке, читайте в карточках @rbc.style"
8,14/10/2021,47,1962,"Критика позволяет любому специалисту развиваться, но иногда бывает несправедлива. К тому же выслушивать ее всегда тяжело. Дизайнер Google Health Анна Юрченко поделилась пятью стратегиями, которые помогают лично ей извлекать пользу из обратной связи. 

Почему принимать критику так сложно и зачем она нужна, читайте в полной версии материала РБК Pro по ссылке в шапке профиля"
9,14/10/2021,58,11031,"Ежегодный международный конкурс фотографий дикой природы, проводимый Музеем естествознания в Лондоне, подвел итоги года, выбрав из более 50 тыс. работ в 19 категориях лучшие снимки.
⠀
Абсолютным победителем конкурса стал Лоран Бальеста из Франции: его снимок «Creation» («Сотворение») запечатлел редкое явление: спаривание камуфляжных окуней, которое происходит раз в год при полной луне и длится всего один час.
⠀
Все фотографии победителей «Wildlife Photographer of the Year-2021» будут выставлены в Музее естествознания с 15 октября"
